"""SIREN""","""NIC""","""L1_NORMALISEE""","""L2_NORMALISEE""","""L3_NORMALISEE""","""L4_NORMALISEE""","""L5_NORMALISEE""","""L6_NORMALISEE""","""L7_NORMALISEE""","""L1_DECLAREE""","""L2_DECLAREE""","""L3_DECLAREE""","""L4_DECLAREE""","""L5_DECLAREE""","""L6_DECLAREE""","""L7_DECLAREE""","""NUMVOIE""","""INDREP""","""TYPVOIE""","""LIBVOIE""","""CODPOS""","""CEDEX""","""RPET""","""LIBREG""","""DEPET""","""ARRONET""","""CTONET""","""COMET""","""LIBCOM""","""DU""","""TU""","""UU""","""EPCI""","""TCD""","""ZEMET""","""SIEGE""","""ENSEIGNE""","""IND_PUBLIPO""","""DIFFCOM""","""AMINTRET""","""NATETAB""","""LIBNATETAB""","""APET700""","""LIBAPET""","""DAPET""","""TEFET""","""LIBTEFET""","""EFETCENT""","""DEFET""","""ORIGINE""","""DCRET""","""DDEBACT""","""ACTIVNAT""","""LIEUACT""","""ACTISURF""","""SAISONAT""","""MODET""","""PRODET""","""PRODPART""","""AUXILT""","""NOMEN_LONG""","""SIGLE""","""NOM""","""PRENOM""","""CIVILITE""","""RNA""","""NICSIEGE""","""RPEN""","""DEPCOMEN""","""ADR_MAIL""","""NJ""","""LIBNJ""","""APEN700""","""LIBAPEN""","""DAPEN""","""APRM""","""ESS""","""DATEESS""","""TEFEN""","""LIBTEFEN""","""EFENCENT""","""DEFEN""","""CATEGORIE""","""DCREN""","""AMINTREN""","""MONOACT""","""MODEN""","""PRODEN""","""ESAANN""","""TCA""","""ESAAPEN""","""ESASEC1N""","""ESASEC2N""","""ESASEC3N""","""ESASEC4N""","""VMAJ""","""VMAJ1""","""VMAJ2""","""VMAJ3""","""DATEMAJ""","""EVE""","""DATEVE""","""TYPCREH""","""DREACTET""","""DREACTEN""","""MADRESSE""","""MENSEIGNE""","""MAPET""","""MPRODET""","""MAUXILT""","""MNOMEN""","""MSIGLE""","""MNICSIEGE""","""MNJ""","""MAPEN""","""MPRODEN""","""SIRETPS""","""TEL"""
306605700,00013,SICA PULPE HAUTE PICARDIE,,,RUE D EPEHY,CS 90114 VILLERS FAUCON,80202 PERONNE CEDEX,FRANCE,SICA PULPE HAUTE PICARDIE,,,,,80240 VILLERS FAUCON,,,,,,80240,,32,Hauts-de-France,80,4,20,802,VILLERS FAUCON,,0,,200037059,11,2211,1,,1,O,201209,,,1081Z,Fabrication de sucre,2011,00,0 salarié,0,2015,1,19760101,19760101,99,99,,P,S,O,,0,SICA PULPE HAUTE PICARDIE,,,,,,00013,32,80802,,5532,SA d'intérêt collectif agricole (SICA) à conseil d'administration,1081Z,Fabrication de sucre,2011,,O,20160101,11,10 à 19 salariés,10,2015,PME,19760101,201209,1,S,O,2014,4,1081Z,1081Z,6920Z,4621Z,,I,,,,2017-08-11T16:31:45,MTDE,20070220,,,,,,,,,,,,,,,,
306605700,00013,SICA PULPE HAUTE PICARDIE,STE EMILIE,,,,80240 ROISEL,FRANCE,SICA PULPE HAUTE PICARDIE,,STE EMILIE,,,80240 ROISEL,,,,,,80240,,32,Hauts-de-France,80,4,20,677,ROISEL,,0,,200037059,14,2211,0,,1,O,201209,,,1081Z,Fabrication de sucre,2011,00,0 salarié,0,2015,1,19760101,19760101,99,99,,P,S,O, ,0,PULPE DE HAUTE PICARDIE,PHP,,,,,00021,32,80272,,5599,SA à conseil d'administration (s.a.i.),1081Z,Fabrication de sucre,2011,,O,20160101,11,10 à 19 salariés,10,2015,PME,19760101,201209,1,S,O,2014,4,1081Z,1081Z,6920Z,4621Z,,F,0,0,1,2017-08-11T16:31:45,MTDE,20070220,,,,1,0,0,0,0,1,1,1,1,0,0,,
306605700,00021,SICA PULPE HAUTE PICARDIE,NVLLE SICA PULPE DE HTE PICARDIE,,,,80190 EPENANCOURT,FRANCE,SICA PULPE HAUTE PICARDIE,NVLLE SICA PULPE DE HTE PICARDIE,,,,80190 EPENANCOURT,,,,,,80190,,32,Hauts-de-France,80,4,18,272,EPENANCOURT,,0,,200070985,03,2211,0,NVLLE SICA PULPE DE HTE PICARDIE,1,O,201209,,,1081Z,Fabrication de sucre,2011,11,10 à 19 salariés,10,2015,4,19990901,19990901,99,99,,P,S,O,,0,SICA PULPE HAUTE PICARDIE,,,,,,00013,32,80802,,5532,SA d'intérêt collectif agricole (SICA) à conseil d'administration,1081Z,Fabrication de sucre,2011,,O,20160101,11,10 à 19 salariés,10,2015,PME,19760101,201209,1,S,O,2014,4,1081Z,1081Z,6920Z,4621Z,,I,,,,2017-08-11T16:36:41,MTAS,20070220,,,,,,,,,,,,,,,,
306605700,00021,SICA PULPE HAUTE PICARDIE,NVLLE SICA PULPE DE HTE PICARDIE,,2 B GRANDE RUE,,80190 EPENANCOURT,FRANCE,SICA PULPE HAUTE PICARDIE,NVLLE SICA PULPE DE HTE PICARDIE,,2 B GRANDE RUE,,80190 EPENANCOURT,,2,B,,GRANDE RUE,80190,,32,Hauts-de-France,80,4,18,272,EPENANCOURT,,0,,200070985,03,2211,1,SICA PULPE DE HAUTE PICARDIE,1,O,201209,,,1081Z,Fabrication de sucre,2011,11,10 à 19 salariés,10,2015,4,19990901,19990901,99,99,,P,S,O, ,0,PULPE DE HAUTE PICARDIE,PHP,,,,,00021,32,80272,,5599,SA à conseil d'administration (s.a.i.),1081Z,Fabrication de sucre,2011,,O,20160101,11,10 à 19 salariés,10,2015,PME,19760101,201209,1,S,O,2014,4,1081Z,1081Z,6920Z,4621Z,,F,0,0,1,2017-08-11T16:36:41,MTAS,20070220,,,,1,1,0,0,0,1,1,1,1,0,0,,
318198876,00035,OFFICE DU TOURISME,,IMMEUBLE L ALLEE VERTE,PLACE DE LA MADELEINE,,26250 LIVRON SUR DROME,FRANCE,OFFICE DU TOURISME,,IMMEUBLE L'ALLEE VERTE,PL DE LA MADELEINE,,26250 LIVRON SUR DROME,,,,PL,DE LA MADELEINE,26250,,84,Auvergne-Rhône-Alpes,26,1,07,165,LIVRON SUR DROME,26,3,03,242600252,22,8208,1,,1,O,201209,,,7990Z,Autres services de réservation et activités connexes,2008,02,3 à 5 salariés,3,2015,9,19990401,19990401,NR,99,,P,S,O,,0,OFFICE DU TOURISME,,,,,,00035,84,26165,,9220,Association déclarée ,7990Z,Autres services de réservation et activités connexes,2008,,O,20160101,02,3 à 5 salariés,3,2015,PME,19800101,201209,1,S,O,,,,,,,,I,,,,2017-08-11T04:24:19,MU,20170401,,,,,,,,,,,,,,,,
318198876,00035,OFFICE D ANIMATIONS LOCALES,,IMMEUBLE L ALLEE VERTE,PLACE DE LA MADELEINE,,26250 LIVRON SUR DROME,FRANCE,OFFICE D ANIMATIONS LOCALES,,IMMEUBLE L'ALLEE VERTE,PL DE LA MADELEINE,,26250 LIVRON SUR DROME,,,,PL,DE LA MADELEINE,26250,,84,Auvergne-Rhône-Alpes,26,1,07,165,LIVRON SUR DROME,26,3,03,242600252,22,8208,1,,1,O,201209,,,7990Z,Autres services de réservation et activités connexes,2008,02,3 à 5 salariés,3,2015,9,19990401,19990401,NR,99,,P,S,O, ,0,OFFICE D ANIMATIONS LOCALES,,,,,,00035,84,26165,,9220,Association déclarée ,7990Z,Autres services de réservation et activités connexes,2008,,O,20160101,02,3 à 5 salariés,3,2015,PME,19800101,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T04:24:19,MU,20170401,,,,1,0,0,0,0,1,0,0,0,0,0,,
322223009,00067,RETRAVAILLER PROVENCE FORMATION PROFES,,LES PUITS DE L ANGE,85 ALL DE LA CALIFORNIE,,13600 LA CIOTAT,,RETRAVAILLER PROVENCE FORMATION PROFES,,LES PUITS DE L ANGE,85 ALL DE LA CALIFORNIE,,13600 LA CIOTAT,,85,,ALL,DE LA CALIFORNIE,13600,,93,Provence-Alpes-Côte d'Azur,13,3,08,028,LA CIOTAT,00,7,57,200054807,43,9310,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,00,0 salarié,0,2012,1,20010101,20010101,NR,99,,P,S,N,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00067,RETRAVAILLER GRAND SUD EST,,LES PUITS DE L ANGE,85 ALL DE LA CALIFORNIE,,13600 LA CIOTAT,,RETRAVAILLER GRAND SUD EST,,LES PUITS DE L ANGE,85 ALL DE LA CALIFORNIE,,13600 LA CIOTAT,,85,,ALL,DE LA CALIFORNIE,13600,,93,Provence-Alpes-Côte d'Azur,13,3,08,028,LA CIOTAT,00,7,57,200054807,43,9310,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,00,0 salarié,0,2012,1,20010101,20010101,NR,99,,P,S,N, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
322223009,00083,RETRAVAILLER PROVENCE FORMATION PROFES,,LA MALOUNIERE,AV DE VERDUN,,13400 AUBAGNE,,RETRAVAILLER PROVENCE FORMATION PROFES,,LA MALOUNIERE,AV DE VERDUN,,13400 AUBAGNE,,,,AV,DE VERDUN,13400,,93,Provence-Alpes-Côte d'Azur,13,3,05,005,AUBAGNE,00,7,59,200054807,44,9310,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,11,10 à 19 salariés,10,2015,1,20010101,20010101,NR,99,,P,S,O,,0,RETRAVAILLER PROVENCE FORMATION PROFESS,,,,,W133009597,00166,93,13206,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,I,,,,2017-08-11T08:33:21,MU,20170410,,,,,,,,,,,,,,,,
322223009,00083,RETRAVAILLER GRAND SUD EST,,LA MALOUNIERE,AV DE VERDUN,,13400 AUBAGNE,,RETRAVAILLER GRAND SUD EST,,LA MALOUNIERE,AV DE VERDUN,,13400 AUBAGNE,,,,AV,DE VERDUN,13400,,93,Provence-Alpes-Côte d'Azur,13,3,05,005,AUBAGNE,00,7,59,200054807,44,9310,0,,1,O,201209,,,8559A,Formation continue d'adultes,2008,11,10 à 19 salariés,10,2015,1,20010101,20010101,NR,99,,P,S,O, ,0,RETRAVAILLER GRAND SUD EST,,,,,W133009597,00216,93,13201,,9220,Association déclarée ,8559A,Formation continue d'adultes,2008,,O,20160101,21,50 à 99 salariés,50,2015,PME,19810102,201209,1,S,O,,,,,,,,F,0,0,0,2017-08-11T08:33:21,MU,20170410,,,,1,0,0,0,0,1,0,1,0,0,0,,
