Civilité,Nom,Prénom,Mandat,Circonscription,Département,Candidat-e parrainé-e
M,DEFER,Gilbert,Maire,La Neuveville-sous-Châtenois,Vosges,ARTHAUD Nathalie
M,FETET,Michel,Maire,Arrentès-de-Corcieux,Vosges,ARTHAUD Nathalie
Mme,PIROUE,Béatrice,Maire,Juvaincourt,Vosges,ARTHAUD Nathalie
M,SAVARIT,Noël,Maire,Longchamp-sous-Châtenois,Vosges,ARTHAUD Nathalie
M,GEORGES,Christian,Maire délégué-e,Provenchères-et-Colroy,Vosges,ASSELINEAU François
M,BIGEON,Jean-Marie,Maire,Autreville,Vosges,CHEMINADE Jacques
M,CLAUDEL,Jean-Marie,Maire,Vaubexy,Vosges,CHEMINADE Jacques
M,LOUIS,Jean-Marie,Maire,Certilleux,Vosges,CHEMINADE Jacques
M,MANGIN,Jean-Marie,Maire,Varmonzey,Vosges,CHEMINADE Jacques
M,BLARY,Joël,Maire,Ménil-sur-Belvitte,Vosges,DUPONT-AIGNAN Nicolas
M,DARTOIS,François,Maire,Jussarupt,Vosges,FILLON François
Mme,DEL GENINI,Elisabeth,Conseiller/ère régional-e,Grand Est,Vosges,FILLON François
M,DUVAL,André,Maire,Maconcourt,Vosges,FILLON François
M,FAIVRE,Philippe,Conseiller/ère départemental-e,,Vosges,FILLON François
M,FEGLI,Christian,Maire,Etival-Clairefontaine,Vosges,FILLON François
M,PHILIPPE,Claude,Maire,Harmonville,Vosges,FILLON François
M,VALENCE,David,Conseiller/ère régional-e,Grand Est,Vosges,FILLON François
M,LALANDRE,Jean-Marie,Conseiller/ère régional-e,Grand Est,Vosges,HAMON Benoît
M,VAUBOURG,Jean,Maire,Bouxurulles,Vosges,JARDIN Alexandre
M,MANTEL,Michel,Maire,Vincey,Vosges,MACRON Emmanuel
M,VADROT,Nicolas,Maire,La Neuveville-sous-Montfort,Vosges,MACRON Emmanuel
M,POIROT,Gilbert,Conseiller/ère départemental-e,,Vosges,MELENCHON Jean-Luc
M,YARDIN,Jean-Luc,Maire,Gemmelaincourt,Vosges,MIGUET Nicolas
M,DESCOUPS,Damien,Maire,Liézey,Vosges,POUTOU Philippe
M,ROLIN,Denis,Maire,Pleuvezain,Vosges,YADE Rama
Mme,CHINOUILH-THOMAS,Régine,Maire,Le Puid,Vosges,CHEMINADE Jacques
M,JACOTE,Eric,Maire,Essegney,Vosges,CHEMINADE Jacques
M,POIROT,Jean-Pierre,Maire,Montmotier,Vosges,CHEMINADE Jacques
M,DUPAYS,Michel,Maire,Saint-Pierremont,Vosges,DUPONT-AIGNAN Nicolas
M,GORNET,François,Maire,Lerrain,Vosges,DUPONT-AIGNAN Nicolas
M,HUGUENIN,Bruno,Maire,Padoux,Vosges,DUPONT-AIGNAN Nicolas
M,HUMBERT,Stanislas,Maire,Thiéfosse,Vosges,DUPONT-AIGNAN Nicolas
M,ROBINET,Francis,Maire,Viocourt,Vosges,DUPONT-AIGNAN Nicolas
M,SCHNEIDER,Gérard,Maire,Brantigny,Vosges,DUPONT-AIGNAN Nicolas
Mme,SIMONIN,Anne,Maire,Marainville-sur-Madon,Vosges,DUPONT-AIGNAN Nicolas
M,TALLOTTE,Claude,Maire,Battexey,Vosges,DUPONT-AIGNAN Nicolas
M,VIRION,Jean François,Maire,Bettegney-Saint-Brice,Vosges,DUPONT-AIGNAN Nicolas
Mme,BABOUHOT,Nathalie,Conseiller/ère départemental-e,,Vosges,FILLON François
